,DEC_LAT,DEC_LONG,DRINKING_DRIVER,CELL_PHONE,RUNNING_RED_LT,AGGRESSIVE_DRIVING,DISTRACTED,DRUGGED_DRIVER,ILLEGAL_DRUG_RELATED,RUNNING_STOP_SIGN,NEIGHBORHOOD
11,40.4612,-80.0087,0,0,0,1,0,0,0,0,Fineview
72,40.4662,-79.9647,0,0,1,1,0,0,0,0,Lower Lawrenceville
75,40.4276,-80.0542,0,0,0,1,0,0,0,0,Oakwood
215,40.4248,-80.0658,0,0,0,1,0,0,0,1,Oakwood
315,40.454,-79.9124,0,0,0,1,0,0,0,0,Point Breeze
489,40.4636,-79.953,0,0,0,0,0,0,0,0,Bloomfield
491,40.4268,-80.0561,0,0,0,0,0,0,0,0,Oakwood
558,40.4026,-80.0309,0,0,0,1,0,0,0,0,Beechview
588,40.4377,-79.9866,0,0,0,1,0,0,0,0,Bluff
714,40.4842,-79.9079,0,0,0,1,0,0,0,0,Highland Park
726,40.4424,-79.9774,0,0,0,0,0,0,0,0,Terrace Village
730,40.4597,-79.9995,0,0,0,1,0,0,0,0,Spring Hill-City View
731,40.4284,-79.9746,0,0,0,1,0,0,0,0,South Side Flats
732,40.4402,-80.0529,0,0,0,1,0,0,0,0,Crafton Heights
736,40.4845,-79.908,0,0,0,1,0,0,0,0,Highland Park
741,40.381,-79.9272,0,0,0,0,0,0,0,0,Hays
761,40.4602,-79.8976,0,0,0,0,0,0,0,0,Homewood North
762,40.4311,-79.9592,0,0,0,1,0,0,0,0,South Oakland
763,40.4515,-79.9081,0,0,0,1,0,0,0,0,Point Breeze North
766,40.438,-79.9062,0,0,0,0,0,0,0,0,Squirrel Hill South
767,40.4568,-79.9993,0,0,0,1,0,0,0,0,East Allegheny
768,40.4647,-79.9798,0,0,0,1,0,0,0,0,Troy Hill
770,40.4807,-80.0451,0,0,0,1,0,0,0,0,Brighton Heights
771,40.4576,-79.9892,0,0,0,0,0,0,0,0,Troy Hill
773,40.3918,-80.0168,0,0,0,1,0,0,0,0,Brookline
774,40.3819,-79.9959,0,0,0,0,0,0,0,0,Overbrook
775,40.4188,-79.9727,0,0,0,1,0,0,0,1,South Side Slopes
776,40.411,-80.0059,0,0,1,1,0,0,0,0,Bon Air
779,40.403,-79.9898,0,0,0,1,0,0,0,0,Carrick
780,40.4133,-79.9889,0,0,0,1,0,0,0,0,Knoxville
782,40.4388,-79.9973,0,0,0,1,0,0,0,0,Central Business District
786,40.4371,-79.9983,0,0,1,1,0,0,0,0,Central Business District
788,40.4405,-79.9915,0,0,0,1,0,0,0,0,Central Business District
809,40.4273,-79.9223,0,0,0,1,0,0,0,0,Squirrel Hill South
827,40.427,-79.9198,0,0,0,1,0,0,0,0,Squirrel Hill South
899,40.4544,-79.9478,0,0,0,0,0,0,0,0,Bloomfield
900,40.393,-79.9973,0,0,0,1,0,0,0,0,Overbrook
901,40.4151,-79.9906,0,0,0,1,0,0,0,1,Knoxville
923,40.4579,-80.0095,0,0,0,1,0,0,0,0,Central Northside
925,40.4087,-80.0246,0,0,0,0,1,0,0,0,Beechview
971,40.4169,-80.0144,0,0,0,0,1,0,0,0,Mount Washington
998,40.4422,-80.0837,0,0,0,1,0,0,0,0,Fairywood
999,40.4366,-79.9555,0,0,0,1,0,0,0,0,Central Oakland
1023,40.4012,-80.0181,0,0,0,1,0,0,0,0,Brookline
1024,40.3962,-79.9982,0,0,0,0,1,0,0,0,Brookline
1025,40.415,-79.9462,0,0,0,1,0,1,1,0,Hazelwood
1044,40.4297,-80.0288,0,0,0,1,1,0,0,0,Ridgemont
1046,40.4659,-79.9228,0,0,0,0,0,0,0,0,East Liberty
1048,40.4548,-79.9325,0,0,1,1,0,0,0,0,Shadyside
1049,40.456,-79.9917,0,0,0,0,0,0,1,0,Troy Hill
1050,40.4507,-80.0231,0,0,0,1,0,0,0,0,Chateau
1070,40.4457,-79.9564,0,0,0,1,0,0,0,0,North Oakland
1071,40.4253,-79.9267,0,0,0,0,0,0,0,0,Greenfield
1072,40.4457,-79.9564,0,0,0,0,0,0,0,0,North Oakland
1074,40.3983,-79.9793,0,0,0,0,0,0,0,0,Carrick
1075,40.3892,-79.9854,0,0,0,1,0,0,0,0,Carrick
1121,40.4444,-79.9789,0,0,0,0,0,0,0,0,Middle Hill
1122,40.4023,-80.0214,0,0,0,0,1,0,0,0,Brookline
1123,40.4187,-79.9481,1,0,0,0,0,0,0,0,Hazelwood
1210,40.4807,-80.045,0,0,0,1,0,0,0,0,Brighton Heights
1230,40.4293,-79.9992,0,0,0,0,1,0,0,0,South Shore
1243,40.4438,-79.9205,0,0,0,1,0,0,0,0,Squirrel Hill North
1244,40.4462,-79.9569,0,0,0,0,0,0,0,0,North Oakland
1245,40.4507,-79.9779,0,0,0,0,0,0,0,0,Bedford Dwellings
1246,40.3948,-80.0251,0,0,0,0,0,0,0,0,Brookline
1247,40.4219,-79.9923,0,0,0,1,0,0,0,0,Allentown
1248,40.429,-80.0292,1,0,0,0,0,0,0,0,Ridgemont
1267,40.4817,-80.0464,1,0,0,1,0,0,0,0,Brighton Heights
1292,40.4712,-79.9086,0,0,0,1,0,0,0,0,Highland Park
1300,40.4312,-80.0256,0,0,0,1,0,0,0,0,Duquesne Heights
1301,40.4265,-79.9168,0,0,0,1,0,0,0,0,Squirrel Hill South
1343,40.4495,-80.089,0,0,0,1,0,0,0,0,Fairywood
1347,40.403,-79.9898,0,0,0,0,1,0,0,0,Carrick
1352,40.4873,-80.0163,0,0,0,0,0,0,0,0,Perry North
1373,40.4484,-80.0076,0,0,0,1,0,0,0,0,North Shore
1383,40.4377,-79.9842,0,0,0,0,0,0,0,0,Bluff
1394,40.4247,-80.0186,0,0,0,0,0,0,0,0,Mount Washington
1395,40.4171,-79.9473,0,0,0,0,0,0,0,0,Hazelwood
1429,40.4427,-79.9988,0,0,0,0,0,0,0,0,Central Business District
1432,40.4289,-79.9454,0,0,0,1,0,0,0,0,Squirrel Hill South
1477,40.4207,-80.032,0,0,0,1,0,0,0,0,Ridgemont
1502,40.4427,-80.0297,0,0,0,1,0,0,0,0,West End
1503,40.4196,-79.9272,0,0,0,0,0,0,0,0,Greenfield
1507,40.4573,-79.909,0,0,0,0,0,0,0,0,Homewood West
1509,40.482,-80.0417,0,0,0,0,0,0,0,0,Brighton Heights
1515,40.4289,-79.9317,0,0,0,1,0,0,0,0,Greenfield
1527,40.4033,-80.0408,0,0,0,1,0,0,0,1,Banksville
1529,40.4662,-79.9647,0,0,0,1,0,0,0,0,Lower Lawrenceville
1531,40.4297,-79.9231,0,0,0,1,0,0,0,0,Squirrel Hill South
1532,40.4625,-79.9909,0,0,0,0,0,0,0,0,Spring Hill-City View
1533,40.4566,-80.0298,0,0,0,1,0,0,0,0,Chateau
1534,40.438,-79.9913,0,0,0,1,0,0,0,0,Bluff
1535,40.3833,-79.9305,1,0,0,1,0,0,0,0,Hays
1536,40.4563,-79.9565,0,0,0,1,0,0,0,0,Upper Hill
1539,40.4144,-80.0101,1,0,0,0,0,0,0,0,Mount Washington
1541,40.4106,-80.0232,0,0,0,0,0,0,0,0,Beechview
1544,40.436,-79.9991,0,0,0,0,0,0,0,0,Central Business District
1545,40.3997,-80.0442,0,0,0,0,0,1,0,0,Banksville
1546,40.4311,-80.0018,0,0,0,1,0,0,0,0,South Shore
1555,40.4263,-80.0309,0,0,0,1,0,0,0,0,Beechview
1556,40.4398,-80.0096,1,0,0,1,0,0,0,0,Central Business District
1595,40.4442,-80.0282,0,0,0,1,0,0,0,0,West End
1640,40.4624,-79.9504,0,0,0,0,0,0,0,0,Bloomfield
1645,40.4796,-80.0438,0,0,0,0,1,0,0,0,Brighton Heights
1652,40.4218,-80.0007,0,0,0,0,0,0,0,0,Mount Washington
1653,40.4103,-80.0156,0,0,0,0,0,0,0,0,Brookline
1655,40.4598,-80.0306,1,0,0,1,1,0,0,0,Chateau
1660,40.4425,-80.0089,0,0,0,1,0,0,0,0,Central Business District
1672,40.4692,-79.9616,0,0,0,0,1,0,0,0,Central Lawrenceville
1674,40.4398,-80.0096,0,0,0,1,0,0,0,0,Central Business District
1684,40.411,-79.9555,0,0,0,1,0,0,0,0,South Side Flats
1688,40.4513,-79.9966,0,0,0,1,0,0,0,0,North Shore
1737,40.4401,-79.9933,0,0,0,0,0,0,0,0,Central Business District
1746,40.4356,-79.9829,0,0,0,1,0,0,0,0,Bluff
1764,40.3984,-80.0261,0,0,0,1,0,0,0,0,Beechview
1766,40.4642,-79.9009,0,0,0,1,0,0,0,0,Lincoln-Lemington-Belmar
1783,40.4394,-79.9992,0,0,0,0,0,0,0,0,Central Business District
1830,40.4197,-79.9289,1,0,0,0,0,1,0,0,Greenfield
1859,40.4285,-79.9762,0,0,0,0,0,0,0,0,South Side Flats
1860,40.3983,-80.0262,0,0,0,1,0,0,0,0,Brookline
1861,40.4258,-80.0198,0,0,0,1,0,0,0,0,Mount Washington
1862,40.4625,-79.9056,0,0,0,0,0,0,0,0,Homewood West
1863,40.4352,-80.0182,1,0,0,0,0,0,0,0,Mount Washington
1869,40.4227,-80.0304,0,0,0,0,0,0,0,0,Banksville
1874,40.4627,-79.9672,0,0,0,0,1,0,0,0,Lower Lawrenceville
1875,40.4311,-79.9592,0,0,0,0,0,0,0,0,South Oakland
1878,40.3807,-79.9948,0,0,0,1,0,0,0,0,Overbrook
1907,40.4388,-80.029,0,0,0,0,0,0,0,0,Duquesne Heights
1924,40.4273,-79.9206,1,0,0,0,0,1,0,0,Squirrel Hill South
1932,40.4548,-80.0412,0,0,0,0,0,0,0,0,Esplen
1956,40.4487,-80.0023,1,0,1,1,0,0,0,0,North Shore
1961,40.4704,-79.9605,0,0,0,1,1,0,0,0,Central Lawrenceville
1979,40.4267,-80.0565,0,0,0,0,1,0,0,0,Oakwood
1985,40.4249,-79.9903,0,0,0,0,1,0,0,0,Allentown
2007,40.4487,-80.0023,0,0,1,1,0,0,0,0,North Shore
2020,40.448,-80.0021,0,0,0,1,0,0,0,0,North Shore
2035,40.4592,-79.9275,0,0,0,1,0,0,0,0,Shadyside
2055,40.4806,-80.0448,0,0,0,0,1,0,0,0,Brighton Heights
2075,40.4797,-79.9549,1,0,0,1,0,0,0,0,Upper Lawrenceville
2076,40.4511,-80.0489,0,0,0,0,0,0,0,0,Crafton Heights
2078,40.3894,-79.9333,0,0,0,0,0,0,0,0,Hays
2081,40.4549,-79.9114,0,0,0,1,0,0,0,0,Point Breeze North
2082,40.4592,-79.9275,0,0,0,0,0,0,0,0,Shadyside
2112,40.4518,-79.9957,0,0,0,1,1,0,0,0,North Shore
2124,40.4524,-80.014,0,0,0,0,1,0,0,0,Allegheny West
2149,40.4315,-79.9589,1,0,0,1,0,0,0,0,South Oakland
2150,40.4931,-80.0105,0,0,0,1,0,0,0,0,Perry North
2163,40.4446,-79.9164,0,0,0,0,0,0,0,0,Point Breeze
2172,40.4403,-80.007,0,0,1,1,0,0,0,0,Central Business District
2209,40.4467,-79.8939,0,0,0,0,0,0,0,0,Point Breeze
2213,40.3769,-79.9093,0,0,0,1,0,0,0,0,Lincoln Place
2239,40.4687,-79.9623,0,0,0,0,0,0,0,0,Lower Lawrenceville
2357,40.4383,-79.9961,1,0,0,1,0,0,0,0,Central Business District
2363,40.4022,-79.9894,0,0,0,0,0,0,0,0,Carrick
2440,40.4614,-79.9485,0,0,0,1,0,0,0,0,Bloomfield
2449,40.4515,-79.9081,0,0,0,1,0,0,0,0,Point Breeze North
2450,40.4794,-80.0437,0,0,0,0,0,0,0,0,Brighton Heights
2451,40.4886,-80.0117,0,0,0,0,0,0,0,0,Perry North
2454,40.3823,-79.9823,0,0,0,1,0,0,0,0,Carrick
2512,40.4377,-79.9726,0,0,0,1,0,0,0,0,West Oakland
2533,40.4258,-79.9003,0,0,0,0,0,0,0,0,Swisshelm Park
2560,40.4486,-79.8995,0,0,0,0,0,0,0,0,Point Breeze North
2569,40.4466,-79.8936,0,0,0,1,0,0,0,0,Point Breeze
2576,40.4285,-79.9762,0,0,0,1,0,0,0,0,South Side Flats
2600,40.4612,-79.8705,1,0,0,0,1,0,0,0,East Hills
2625,40.4503,-79.9974,0,0,0,0,0,0,0,0,North Shore
2644,40.4604,-79.9835,0,0,0,0,0,0,0,0,Troy Hill
2729,40.4557,-79.9973,0,0,0,1,0,0,0,0,East Allegheny
2792,40.4258,-80.02,0,0,0,0,1,0,0,0,Duquesne Heights
2804,40.4619,-79.964,0,0,0,1,0,0,0,0,Lower Lawrenceville
2914,40.4626,-79.9446,0,0,0,0,1,0,0,0,Bloomfield
2916,40.4657,-79.948,0,0,0,0,0,0,0,0,Central Lawrenceville
2917,40.4733,-79.8887,0,0,0,0,0,0,0,0,Lincoln-Lemington-Belmar
2918,40.4615,-79.9222,0,0,0,0,0,0,0,0,East Liberty
2919,40.4798,-79.9548,0,0,0,1,0,0,0,0,Upper Lawrenceville
2920,40.4688,-79.9178,0,0,0,1,0,0,0,0,East Liberty
2921,40.4361,-79.9661,0,1,0,0,1,0,0,0,South Oakland
2923,40.4463,-79.9469,0,0,0,1,0,0,0,0,Squirrel Hill North
2925,40.454,-79.9124,0,0,0,1,0,0,0,0,Point Breeze
2927,40.4796,-79.9504,1,0,0,0,0,0,0,0,Upper Lawrenceville
2929,40.4388,-79.9571,0,0,0,1,0,0,0,1,Central Oakland
2950,40.3897,-79.9339,0,0,0,1,0,0,0,0,Hays
2951,40.4467,-79.8939,0,0,0,1,0,0,0,0,Point Breeze
2952,40.4388,-79.9571,0,0,0,1,0,0,0,1,Central Oakland
2956,40.4674,-79.9088,0,0,0,0,0,0,0,0,Larimer
2957,40.4558,-79.9388,0,0,0,1,0,0,0,0,Shadyside
2959,40.4582,-79.8929,0,0,0,0,0,0,0,0,Homewood North
2960,40.4635,-79.9489,0,0,1,1,0,0,0,0,Bloomfield
2962,40.4562,-79.9409,0,0,0,1,0,0,0,0,Bloomfield
2963,40.4697,-79.921,0,0,0,0,0,0,0,0,Highland Park
2964,40.4301,-79.9989,1,0,0,1,0,0,0,0,South Shore
2966,40.4529,-79.8853,0,0,0,1,0,0,0,0,East Hills
2967,40.4362,-79.9191,0,0,0,0,0,0,0,0,Squirrel Hill South
2968,40.4528,-79.9261,0,0,0,1,0,0,0,0,Shadyside
2970,40.4805,-80.0318,0,0,0,0,0,0,0,0,Brighton Heights
2971,40.4289,-79.9297,1,0,0,0,0,0,0,0,Squirrel Hill South
2972,40.4788,-80.0432,0,0,0,0,0,0,0,0,Brighton Heights
2973,40.4734,-80.0387,0,0,0,0,0,0,0,0,Brighton Heights
2976,40.4381,-80.0137,0,0,0,0,0,0,0,0,South Shore
2977,40.4492,-80.005,0,0,0,1,0,0,0,1,North Shore
2978,40.4937,-80.0221,0,0,0,0,0,0,0,0,Perry North
2979,40.4646,-80.0099,0,0,0,0,1,0,0,0,Fineview
2980,40.4573,-79.9978,1,0,0,1,0,0,0,0,East Allegheny
2981,40.493,-80.0114,0,0,0,1,0,0,0,0,Perry North
2982,40.4169,-80.0144,0,0,0,0,0,0,0,0,Mount Washington
2983,40.4417,-80.0353,0,0,0,0,0,0,0,0,West End
2984,40.3962,-79.9982,0,0,0,1,0,0,0,0,Brookline
2985,40.4666,-79.9565,0,0,0,1,0,0,0,0,Central Lawrenceville
